day_of_week,hour_of_day,total_trips,avg_delay,max_delay,delayed_trips
Friday,18,63755,13.88,116.75,37817.0
Friday,19,52994,12.52,119.82,28900.0
Friday,17,60602,11.81,119.62,35968.0
Friday,20,43051,9.87,108.5,20382.0
Friday,16,64323,9.82,118.33,36233.0
Thursday,18,44477,9.23,118.75,22771.0
Thursday,19,38284,9.02,118.45,18379.0
Wednesday,18,44788,8.4,118.27,21976.0
Thursday,17,46319,8.33,104.97,23819.0
Saturday,18,43864,8.25,104.1,20886.0
Saturday,19,39966,8.19,111.35,18124.0
Tuesday,18,53177,8.08,108.37,26418.0
Friday,21,29493,7.96,117.45,12862.0
Saturday,17,41175,7.9,116.17,19616.0
Monday,18,47812,7.74,103.78,23254.0
Friday,15,52687,7.68,112.82,26985.0
Wednesday,19,41390,7.61,112.9,18159.0
Wednesday,17,48149,7.47,75.03,22974.0
Saturday,20,36405,7.45,116.35,15260.0
Tuesday,19,43270,7.4,116.88,19240.0
Thursday,20,28611,7.4,113.07,11746.0
Sunday,17,37185,7.24,94.5,17302.0
Friday,23,20094,7.12,104.13,8926.0
Tuesday,17,54776,7.09,112.17,26146.0
Sunday,18,31023,6.99,104.52,13761.0
Monday,17,51583,6.95,82.52,24376.0
Friday,22,24228,6.92,111.38,10181.0
Monday,19,39136,6.65,81.58,16443.0
Saturday,16,39041,6.64,115.32,16642.0
Sunday,16,39439,6.57,74.73,17121.0
Saturday,21,31439,6.48,98.02,12269.0
Thursday,21,23064,6.38,107.63,8671.0
Thursday,16,43568,6.31,118.33,18968.0
Saturday,23,19929,6.2,105.38,7824.0
Sunday,19,30080,6.19,117.85,12034.0
Saturday,22,25587,6.17,109.57,9651.0
Sunday,15,39309,6.07,109.68,16601.0
Saturday,15,45841,6.05,105.92,18329.0
Thursday,22,17237,6.05,115.62,6390.0
Wednesday,20,32630,5.9,102.95,11687.0
Wednesday,16,44737,5.89,74.22,18716.0
Friday,14,54123,5.88,108.63,23087.0
Saturday,14,46866,5.88,114.48,18848.0
Tuesday,20,31067,5.87,117.98,11255.0
Thursday,23,15563,5.74,90.47,5757.0
Monday,9,42923,5.71,109.1,16858.0
Thursday,15,32371,5.6,119.42,13288.0
Tuesday,16,53598,5.59,114.43,22220.0
Thursday,9,46423,5.57,89.23,17689.0
Sunday,20,28424,5.5,110.25,10515.0
Saturday,13,46814,5.35,118.42,17912.0
Monday,16,50409,5.25,115.37,20288.0
Sunday,21,23447,5.23,114.87,8243.0
Wednesday,15,45550,5.21,101.93,18357.0
Friday,13,51493,5.19,114.53,20357.0
Sunday,22,21082,5.17,74.03,7606.0
Tuesday,21,27060,5.15,107.28,9147.0
Sunday,14,41659,5.12,104.13,15917.0
Thursday,10,36031,5.1,102.43,12296.0
Monday,8,51649,5.09,103.17,20662.0
Monday,20,29759,5.02,115.38,10076.0
Monday,10,34995,5.01,111.23,11869.0
Saturday,12,40342,4.96,83.68,14546.0
Friday,12,47318,4.88,118.63,17527.0
Wednesday,21,24301,4.81,113.25,7752.0
Sunday,23,17047,4.74,113.35,5883.0
Tuesday,9,48135,4.69,97.67,17131.0
Tuesday,15,48305,4.62,109.13,17767.0
Tuesday,22,20697,4.53,101.92,6847.0
Sunday,13,38754,4.5,112.78,13246.0
Wednesday,23,14703,4.4,75.65,4918.0
Friday,11,47627,4.39,119.88,15768.0
Thursday,14,38414,4.39,104.23,13181.0
Tuesday,10,40210,4.37,83.38,13089.0
Monday,11,33689,4.34,113.17,10484.0
Monday,21,23877,4.34,115.62,7248.0
Saturday,11,42249,4.33,83.32,13904.0
Thursday,8,48831,4.33,77.03,16996.0
Wednesday,22,20394,4.3,115.1,6396.0
Tuesday,23,16922,4.29,110.72,5546.0
Thursday,11,33802,4.28,112.22,10603.0
Thursday,13,36317,4.25,118.52,12057.0
Monday,15,48286,4.22,114.83,16867.0
Friday,10,52813,4.16,101.32,16147.0
Friday,9,58538,4.13,74.8,18563.0
Wednesday,14,36538,4.13,111.05,12131.0
Thursday,12,35262,4.12,116.43,11167.0
Wednesday,13,32236,4.1,116.93,10599.0
Wednesday,9,47154,4.09,91.43,14844.0
Tuesday,11,38351,4.07,100.97,11926.0
Wednesday,10,37931,4.03,73.9,11575.0
Tuesday,8,60014,4.02,73.28,21083.0
Monday,22,20073,4.0,85.7,5976.0
Tuesday,12,39098,3.99,111.05,12429.0
Monday,23,15201,3.98,80.65,4736.0
Wednesday,12,31154,3.98,117.97,9824.0
Monday,12,34035,3.95,90.83,10541.0
Sunday,12,36624,3.91,102.65,11038.0
Tuesday,13,39629,3.89,101.97,12421.0
Wednesday,11,30299,3.85,90.52,9029.0
Tuesday,14,40668,3.8,119.83,12715.0
Saturday,10,33244,3.75,76.35,9853.0
Sunday,1,3183,3.61,51.33,952.0
Monday,14,39360,3.5,105.27,11911.0
Wednesday,8,54117,3.49,71.17,16469.0
Sunday,11,34995,3.48,85.23,9872.0
Monday,13,37881,3.46,101.12,11157.0
Saturday,1,3012,3.31,43.63,906.0
Saturday,2,3935,3.31,53.02,1075.0
Monday,7,47300,3.21,74.52,13191.0
Friday,8,65704,3.14,106.3,18878.0
Saturday,9,34977,3.13,85.4,8991.0
Sunday,2,3525,3.11,81.05,892.0
Sunday,5,9305,3.09,73.2,1980.0
Sunday,10,32550,3.07,75.73,8153.0
Sunday,9,28623,2.91,74.4,6694.0
Sunday,4,5125,2.79,68.18,1031.0
Saturday,4,5740,2.77,72.75,1096.0
Saturday,3,4155,2.75,55.65,905.0
Sunday,6,15134,2.75,92.8,3202.0
Saturday,5,11310,2.73,62.3,2286.0
Thursday,4,3968,2.7,63.28,709.0
Sunday,3,4288,2.68,66.77,913.0
Friday,1,2325,2.65,38.98,522.0
Saturday,8,31469,2.57,73.63,6996.0
Sunday,8,25954,2.56,73.45,5618.0
Saturday,6,19093,2.51,74.45,4094.0
Sunday,0,1045,2.46,35.85,264.0
Sunday,7,21157,2.4,73.4,4418.0
Tuesday,7,56697,2.37,111.5,14064.0
Wednesday,4,5088,2.3,67.37,877.0
Saturday,7,24905,2.26,69.83,5166.0
Thursday,1,1416,2.25,37.53,295.0
Thursday,7,37825,2.24,72.73,9009.0
Wednesday,7,48125,2.18,80.28,10904.0
Thursday,5,9544,2.11,74.5,1656.0
Friday,4,5963,2.03,97.4,962.0
Monday,4,5396,2.03,73.82,847.0
Monday,6,28313,2.01,80.23,5255.0
Friday,7,49333,1.99,106.17,10316.0
Wednesday,2,2907,1.91,70.57,506.0
Friday,2,3160,1.9,66.73,591.0
Tuesday,4,6085,1.89,70.22,949.0
Wednesday,1,1941,1.89,40.7,357.0
Thursday,6,23015,1.88,75.85,4243.0
Monday,5,13311,1.85,74.27,2020.0
Wednesday,3,3339,1.85,76.55,573.0
Friday,3,3753,1.81,74.15,662.0
Wednesday,6,28983,1.77,73.35,4859.0
Tuesday,1,2532,1.74,46.03,383.0
Friday,5,15197,1.73,61.07,2288.0
Monday,1,2034,1.73,41.98,306.0
Monday,2,2726,1.73,68.25,441.0
Thursday,2,2370,1.73,67.92,366.0
Friday,6,34697,1.72,70.58,5740.0
Tuesday,6,36397,1.69,112.23,6012.0
Wednesday,5,12915,1.69,75.72,1877.0
Monday,3,3109,1.65,58.8,460.0
Tuesday,3,3376,1.6,65.43,530.0
Thursday,3,2895,1.58,78.15,460.0
Tuesday,5,17267,1.56,67.0,2464.0
Thursday,0,330,1.55,17.57,52.0
Tuesday,2,3068,1.44,35.07,447.0
Saturday,0,1036,1.35,21.55,209.0
Monday,0,713,1.18,22.45,108.0
Friday,0,630,1.17,25.58,116.0
Wednesday,0,472,0.93,20.13,85.0
Tuesday,0,897,0.83,17.98,112.0
